Count,Original_menu,Oriignal_prod,Menu_Cat_Tran,Prod_Tran,Variant,Masterdish,flag,Cuisine,cuisine_flag,Subcuisine,subcuisine_flag,Subcategory,subcategory_flag,Ingredient
2001,Burgers,Le Chicken,Burgers,the chicken,,burger chicken,0,american,0,american dish,1,fast food,1,chicken,coriander,cardamom
2002,Burgers,Le Grial,Burgers,The Grail,,grail burger,0,american,0,american dish,1,fast food,1,buns,onion rings,green chilies
2003,Burgers,Le Parisien,Burgers,Le Parisien,,le parisien,0,american,0,burger,0,,,basil,pasta,green beans
2004,Boissons,Minute Maid,beverages,Minute Maid,,minute maid,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2005,Saveurs du monde,Papillote de dinde à la venitienne,flavors of the world,turkey papillote with Venetian, venetian,turkey,1,,,,,,,chicken broth,black pepper,turkey
2006,Pâtes,Pasta Carbonara,pasta,Pasta Carbonara,,pasta carbonara,0,italian,0,pasta,0,main course,1,pasta,artichoke,olive oil
2007,Pâtes,Pasta Mama Térésa,pasta,Pasta Mama Teresa,,pasta,1,italian,0,pasta,0,main course,1,pasta,pasta dough,artichoke
2008,Entrées froides,Salade Caesar,cold starters,caesar salad,,salad caesar,0,western,1,salad,1,salad,1,black pepper,dijon mustard,romaine lettuce
2009,Desserts,Salade de fruits,desserts,fruit salad,,fruit salad,0,american,0,salad,1,salad,1,fruit,blueberry,peach
2010,Entrées froides,Salade fermière,cold starters,farmer salad,,salad,1,italian,0,salad,1,salad,1,black pepper,salad greens,
2011,Entrées froides,Salade grecque,cold starters,Greek salad,,greek salad,0,italian,0,salad,1,salad,1,cucumber,feta cheese,green olive
2012,Entrées froides,Salade Grial,cold starters,grial salad,,salad,1,italian,0,salad,1,salad,1,black pepper,salad greens,
2013,Entrées froides,Salade Océane,cold starters,Oceane salad,,salad ocean,0,western,1,salad,1,salad,1,cheese tortellini,pesto,parsley
2014,Boissons,Schweppes,beverages,Schweppes,,schweppes,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2015,Pâtes,Spaghetti bolognaise,pasta,Spaghetti Bolognese,,spaghetti bolognese,0,italian,0,pasta,0,main course,1,pasta,mushroom,basil
2016,Boissons,Sprite,beverages,sprite,,sprite,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2017,Saveurs du monde,Suprême de poulet à l'autrichienne,flavors of the world,Chicken Supreme with Austrian, austrian,supreme,1,,,chicken dish,0,,,ground beef,cheddar cheese,onions
2018,Pâtes,Tagliatelles au poulet,pasta,Tagliatelle with Chicken,,tagliatelle chicken,0,italian,0,pasta,0,main course,1,chicken,pasta,black pepper
2019,Pâtes,Tagliatelles au saumon,pasta,tagliatelle with salmon,,tagliatelle salmon,0,italian,0,pasta,0,main course,1,salmon,pasta,parmigiano-reggiano cheese
2020,Desserts,Tarte au citron,desserts,Lemon Tart,,tart lemon,0,dessert,0,tart,0,dessert,0,,,
2021,Desserts,Tarte aux fraises,desserts,strawberry pie,,strawberry pie,0,dessert,0,pie,0,dessert,0,,,
2022,Entrées froides,Thon à la catalane,cold starters,tuna Catalan,,tuna catalan,0,italian,0,other italian dish,1,starter,1,tuna,apple,spinach
2023,Desserts,Banoffee Pie,desserts,Banoffee Pie,,banoffee pie,0,dessert,0,pie,0,dessert,0,,,
2024,Brunch,Brunch oriental,brunch,oriental brunch,,oriental,1,,,,,,,bread crumbs,rice,cornstarch
2025,Entrées,Bruschetta saumon fumé,entries,smoked salmon bruschetta,,smoked salmon,1,italian,0,antipasti,0,starter,1,salmon,cucumber,lettuce
2026,Desserts,Cheese cake,desserts,cheese cake,,cheese cake,0,dessert,0,cake,0,dessert,0,,,
2027,Entrées,Chicken caesar salad,entries,chicken caesar salad,,caesar salad chicken,0,western,1,salad,1,salad,1,chicken,spinach,caesar salad dressing
2028,Plats,Chicken satay peanut sauce,dishes,chicken satay peanut sauce,,peanut sauce,1,malay,0,dish,0,,,chicken,bamboo skewers,cilantro
2029,Boissons,Coca,beverages,coca,,cocacola,1,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2030,Boissons,Coca zéro,beverages,Coke Zero,,cocacola,1,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2031,Boissons,Eau gazeuse,beverages,sparkling water,,sparkling water,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2032,Boissons,Eau minérale,beverages,mineral water,,minerale water,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2033,Boissons,Fanta ananas,beverages,Fanta Pineapple,,fanta pineapple,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2034,Boissons,Fanta citron,beverages,lemon fanta,,lemon fanta,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2035,Boissons,Fanta orange,beverages,Fanta orange,,fanta orange,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2036,Boissons,Fanta pomme,beverages,fanta apple,,fanta apple,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2037,Plats,Filet de bœuf,dishes,tenderloin,,tenderloin,0,,,,,,,tenderloin,ginger,hoisin sauce
2038,Plats,Foie d'agneau façon Karma,dishes,lamb liver how karma,,lamb liver,1,Chinese,0,other Chinese dish,1,,,lamb,liver,blackberry
2039,Boissons,Jus pressé citron,beverages,lemon juice,,lemon juice,0,non-alcoholic beverages,0,juice,0,cold beverages,1,lemon,lemon jello,
2040,Boissons,Jus pressé orange,beverages,Squeezed orange juice,,orange juice,1,non-alcoholic beverages,0,juice,0,cold beverages,1,orange,orange juice,black pepper
2041,Plats,KFC Cheese Burger,dishes,kfc cheese burger,,burger cheese,1,american,0,american dish,1,fast food,1,cheese,cajun seasoning,cheddar cheese
2042,Entrées,Nems,entries,Nems,,nems,0,,,,,,,peppers,cabbage,carrot
2043,Boissons,Ngaous abricot,beverages,ngaous apricot,,apricot,1,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2044,Boissons,Ngaous citron menthe,beverages,ngaous lemon mint,,lemon mint,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2045,Boissons,Ngaous fraise,beverages,ngaous strawberry,,ngaous,1,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2046,Boissons,Ngaous mûre,beverages,Mature Ngaous,,ngaous,1,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2047,Boissons,Ngaous orange,beverages,Orange Ngaous,,orange ngaous,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2048,Boissons,Ngaous raisin,beverages,ngaous grapes,,ngaous,1,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2049,Boissons,Perrier,beverages,perrier,,perrier,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2050,Entrées,Quiche du jour,entries,Quiche of the day,,quiche,0,american,0,antipasti,1,,,cayenne,spinach,buttermilk
2051,Boissons,Redbull,beverages,redbull,,redbull,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2052,Entrées,Salade du printemps,entries,Spring salad,,salad spring,0,western,1,salad,1,salad,1,noodles,rice vinegar,lettuce
2053,Entrées,Soupe du jour,entries,soup of the day,,soup,0,vietnamese,0,soup,0,soup,1,pumpkin puree,carrot,onions
2054,Plats,Tagliatelles au poulet sauce crèmeuse,dishes,tagliatelle with chicken cream sauce,,chicken cream sauce,1,italian,0,chicken dish,0,,,chicken,cream,basil
2055,Plats,Tagliatelles au saumon sauce crèmeuse,dishes,tagliatelle with salmon cream sauce,,salmon cream sauce,1,,,,,,,salmon,cream,lemon juice
2056,Desserts,Tarte du jour,desserts,pie of the day,,pie,0,dessert,0,pie,0,dessert,0,,,
2057,Brunch,The Brunch,brunch,The Brunch,,brunch,0,,,,,,,cherry tomato,monterey jack cheese,
2058,Plats,Wok de nouilles et légumes crevettes,dishes,Wok noodles and shrimp vegetables,,shrimp and vegetables noodle,0,,,seafood dish,0,main course,1,shrimp,vegetable,carrot
2059,Plats,Wok de nouilles et légumes poulet,dishes,wok noodles and vegetables Chicken,,chicken and vegetables noodle,0,,,chicken dish,0,main course,1,chicken,vegetable,carrot
2060,Suites,Carré d'agneau,suites,rack of lamb,,rack lamb,0,italian,0,other italian dish,1,,,lamb,black pepper,
2061,Suites,Côte de veau ,suites,veal chop,,veal chop,0,american,0,steak dish,0,,,veal,bourbon,black pepper
2062,Desserts,Crème caramel,desserts,crÃ¨me caramel,,crème caramel,0,dessert,0,dessert,0,dessert,0,,,
2063,Entrées,Croustillant de fromage,entries,Crispy Cheese,,cheese crispy,1,,,,,,,cheese,ketchup,
2064,Suites,Cuisse de canard,suites,Leg of Duck,,duck leg,0,,,,,,,duck,cilantro,hominy
2065,Boissons,Eau gazeuse,beverages,sparkling water,,sparkling water,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2066,Boissons,Eau minérale,beverages,mineral water,,minerale water,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2067,Desserts,Feuilleté aux pommes,desserts,apple pastry,,apple pastry,0,dessert,0,pastry,0,dessert,0,,,
2068,Suites,Filet de bœuf ,suites,tenderloin,,tenderloin,0,,,,,,,tenderloin,ginger,hoisin sauce
2069,Suites,Filet de poisson blanc,suites,White fish fillet,,fillet fish,1,american,0,burger,1,,,fish,parmesan cheese,
2070,Entrées,Foie gras,entries,foie gras,,foie gras,0,italian,0,other italian dish,1,starter,1,black pepper,radicchio,walnut
2071,Desserts,Fraises,desserts,strawberries,,strawberries,0,dessert,0,dessert,0,dessert,0,,,
2072,Entrées,Mille-feuille d'esgargots,entries,Mille-feuille of esgargots,,mille feuille,0,,,,,,,almond,graham cracker,cocoa powder
2073,Desserts,Mousse au chocolat,desserts,chocolate mousse,,chocolate mousse,0,dessert,0,dessert,0,dessert,0,,,
2074,Entrées,Noix de coquilles Saint-Jacques gratinées,entries,Walnut shells St. Jacques au gratin,,st jacques,0,,,,,,,bay leaf,mushroom,chicken broth
2075,Entrées,Noix de coquilles Saint-Jacques poêlées,entries,Walnut shells St. Jacques fried,,st jacques,0,,,,,,,bay leaf,mushroom,chicken broth
2076,Entrées,Oeuf en Meurette,entries,Egg Meurette,,eggs meurette,0,,,,,,,egg,white vinegar,parsley
2077,Entrées,Petit tartare de bœuf ,entries,small beef tartare, small,beef tartare,0,american,0,beef dish,0,,,beef,anchovy fillets,dijon mustard
2078,Suites,Poêlée de rognons ,suites,Fried kidneys,,fried kidneys,0,,,,,,,onions,wine,beef broth
2079,Entrées,Ramequin d'escargots,entries,ramekin of snails,,ramekin snails,0,,,seafood dish,0,,,cinnamon,nuts,
2080,Desserts,Tarte au chocolat,desserts,chocolate pie,,chocolate pie,0,dessert,0,pie,0,dessert,0,,,
2081,Desserts,Tarte au citron,desserts,Lemon Tart,,tart lemon,0,dessert,0,tart,0,dessert,0,,,
2082,Pizzas,Basquaise,Pizzas,basquaise,,basquaise pizza,0,italian,0,pizza,0,main course,1,cayenne,honey,italian cheese blend
2083,Pizzas,Bianca,Pizzas,white,,pizza white,0,italian,0,pizza,0,main course,1,yeast,pizza dough,pizza crust
2084,Pizzas,Blanche neige,Pizzas,snow white,,snow white,0,italian,0,pizza,0,,,pumpkin puree,cinnamon,cloves
2085,Pizzas,Bolognaise,Pizzas,Bolognese,,bolognese pizza,0,italian,0,pizza,0,main course,1,carrot,celery,chianti wine
2086,Pizzas,Campoine,Pizzas,campoine,,campoine pizza,0,italian,0,pizza,0,main course,1,cayenne,honey,italian cheese blend
2087,Pizzas,Champignons,Pizzas,mushrooms,,pizza mushrooms,0,italian,0,pizza,0,main course,1,mushroom,raisin bread,olives
2088,Nos formules,Cheese Burger + frites + boisson au choix,our formulas,cheese burger + fries + drink of your choice,  fries   drink of your choice,burger cheese,1,american,0,american dish,1,fast food,1,cheese,cajun seasoning,cheddar cheese
2089,Boissons,Coca-cola,beverages,coca cola,,cocacola,1,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2090,Crêpes salées,Crêpe à la viande hachée,savory crepes,pancake with minced meat,,pancakes minced meat,0,american,0,american dish,0,,,meat,crepes,ground beef
2091,Crêpes salées,Crêpe au crevettes,savory crepes,crepe with shrimp,,crepe shrimp,0,dessert,0,colombian dessert,0,dessert,0,,,
2092,Crêpes salées,Crêpe au poulet,savory crepes,Crepe with chicken,,crepe chicken,0,dessert,0,colombian dessert,0,dessert,0,,,
2093,Plats,Cuisse de poulet marinés au citron et gratiné à la mozzarella,dishes,marinated chicken thighs with lemon and grated mozzarella, lemon and grated mozzarella,marinated chicken,1,Italian,0,chicken dish,0,,,chicken,lemon,olives
2094,Boissons,Eau minérale,beverages,mineral water,,minerale water,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2095,Plats,Entrecôte grillée,dishes,grilled steak,,steak grilled,0,american,0,steak dish,0,,,steak,italian dressing,sirloin steak
2096,Entrées,Eventail d'avocat,entries,avocado fan,,avocado,1,Italian,0,other Italian dish,1,,,avocado,green chilies,green onion
2097,Boissons,Fanta,beverages,fanta,,fanta,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2098,Pizzas,Fermiére,Pizzas,Farmer,,farmer pizza,0,italian,0,pizza,0,main course,1,bay leaves,black pepper,carrot
2099,Plats,Filet de veau grillé,dishes,Grilled veal fillet,,veal fillet,1,american,0,steak dish,0,,,veal,potato,green apple
2100,Desserts,Fondant au chocolat,desserts,chocolate fondant,,chocolate fondant,0,dessert,0,dessert,0,dessert,0,,,
2101,Pizzas,Fruits de mer,Pizzas,seafood,,seafood pizza,0,italian,0,pizza,0,main course,1,seafood,alfredo sauce,crab meat
2102,Gratins,Gratin à la viande hachée,gratins,gratin with minced meat,,minced meat,1,american,1,american dish,1,starter,1,meat,ground beef,beef broth
2103,Gratins,Gratin au poulet,gratins,Chicken Gratin,,chicken gratin,0,Italian,0,chicken dish,0,starter,1,chicken,black pepper,red pepper flakes
2104,Gratins,Gratin aux crevettes,gratins,Gratin Shrimp,,shrimp gratin,0,Italian,0,seafood dish,0,starter,1,shrimp,bread crumbs,crabmeat
2105,Boissons,Jus d'orange préssé,beverages,squeezed orange juice,,orange juice,1,non-alcoholic beverages,0,juice,0,cold beverages,1,orange,orange juice,black pepper
2106,Boissons,Jus de citron préssé,beverages,prÃ©ssÃ© lemon juice,,lemon juice,1,non-alcoholic beverages,0,juice,0,cold beverages,1,lemon,lemon jello,
2107,Pâtes,Lasagnes,pasta,lasagna,,lasagna,0,italian,0,pasta,0,,,pasta,basil,cream cheese
2108,Pizzas,Marguerite,Pizzas,daisy,,daisy pizza,0,italian,0,pizza,0,main course,1,celery,cheddar cheese,lemon juice
2109,Pizzas Méga,Méga moitié-moitié,Mega Pizza,mega half and half,,half,0,italian,0,pizza,0,,,yeast,bread dough,milk powder
2110,Pizzas Méga,Méga Piccolo,Mega Pizza,Mega Piccolo,,mega piccolo,0,italian,0,pizza,0,,,colby cheese,pizza sauce,ground beef
2111,Pizzas Méga,Méga poulet,Mega Pizza,Mega Chicken,,chicken,1,italian,0,pizza,0,,,chicken,bacon grease,potato
2112,Pizzas Méga,Méga quatre quarts,Mega Pizza,Mega four quarters,,four quarters,0,italian,0,pizza,0,,,apple,pizza crust,mozzarella cheese
2113,Pizzas Méga,Méga viande hachée,Mega Pizza,Mega ground meat,,ground meat,1,italian,0,pizza,0,main course,1,meat,celery,ground beef
2114,Pizzas,Mexicaine,Pizzas,Mexican,,pizza mexican,0,italian,0,pizza,0,main course,1,avocado,cheddar cheese,green onion
2115,Desserts,Mousse au chocolat,desserts,chocolate mousse,,chocolate mousse,0,dessert,0,dessert,0,dessert,0,,,
2116,Pizzas,Napolitaine,Pizzas,Neapolitan,,neapolitan pizza,0,italian,0,pizza,0,main course,1,cornmeal,pizza dough,cherry
2117,Plats,Noisettes d'agneau grillé,dishes,Grilled Lamb Noisettes,,grilled lamb,1,Italian,0,grilled dish,0,,,lamb,black pepper,oregano
2118,Pizzas,Orientale,Pizzas,eastern,,eastern pizza,0,italian,0,pizza,0,main course,1,feta cheese,garlic powder,green olive
2119,Nos formules,Panini crevettes+ frites + boisson au choix,our formulas,Panini shrimp fries + drink + choice,  drink   choice,shrimp,1,Italian,0,seafood dish,0,,,shrimp,cloves,white wine
2120,Nos formules,Panini poulet + frites + boisson au choix,our formulas,chicken panini + fries + drink of your choice,  fries   drink of your choice,panini chicken,1,Italian,0,chicken dish,0,,,chicken,salad greens,mayonnaise
2121,Nos formules,Panini saumon+ frites + boisson au choix,our formulas,salmon panini + fries + drink of your choice,  fries   drink of your choice,salmon,1,Italian,0,pasta,1,starter,1,salmon,cucumber,lettuce
2122,Nos formules,Panini thon + frites + boisson au choix,our formulas,tuna panini + fries + drink of your choice,  fries   drink of your choice,panini tuna,1,Italian,0,other Italian dish,1,,,tuna,celery,green onion
2123,Nos formules,Panini viande + frites + boisson au choix,our formulas,panini meat + fries + drink of your choice,  fries   drink of your choice,meat combo,1,Italian,0,other Italian dish,1,,,meat,celery,ground beef
2124,Pizzas,Pizza à la viande fumée,Pizzas,Pizza with smoked meat,,meat pizza,1,italian,0,pizza,0,main course,1,meat,chili sauce,crab meat
2125,Pizzas,Pizza barbecue,Pizzas,BBQ pizza,,pizza bbq,0,american,0,american dish,0,main course,1,barbecue sauce,cheddar cheese,onions
2126,Pizzas,Quatre fromages,Pizzas,Four Cheese,,four cheese,0,italian,0,pizza,0,,,cheese,monterey jack cheese,mozzarella cheese
2127,Pizzas,Regina,Pizzas,queen,,queen pizza,0,italian,0,pizza,0,main course,1,banana,lemon juice,pecan
2128,Pizzas,Royale,Pizzas,Royal,,pizza royal,0,italian,0,pizza,0,main course,1,basil,black pepper,oregano
2129,Entrées,Salade césar,entries,Caesar salad,,salad caesar,0,western,1,salad,1,salad,1,black pepper,dijon mustard,romaine lettuce
2130,Entrées,Salade de foie de volaille aux noix,entries,chicken liver salad with walnuts, walnuts,chicken liver salad,0,Italian,0,salad,1,salad,1,chicken,liver,chicken liver
2131,Desserts,Salade de fruits,desserts,fruit salad,,fruit salad,0,Italian,0,salad,1,salad,1,fruit,blueberry,peach
2132,Entrées,Salade de langue de veau à la sauce gribiche,entries,Veal tongue salad with chick sauce, chick sauce,veal tongue salad,0,american,0,salad,1,salad,1,veal,swiss cheese,tomato
2133,Entrées,Salade Piccolo,entries,salade small, small,salad,1,Italian,0,salad,1,salad,1,black pepper,salad greens,
2134,Pizzas,Saumon,Pizzas,salmon,,pizza salmon,0,italian,0,pizza,0,main course,1,salmon,cucumber,lemon juice
2135,Pâtes,Spaghetti bolognaise,pasta,Spaghetti Bolognese,,spaghetti bolognese,0,italian,0,pasta,0,main course,1,pasta,mushroom,basil
2136,Plats,Suprême de poulet à la plancha,dishes,chicken breast a la plancha,,chicken breast,1,Italian,0,chicken dish,0,,,chicken,prosciutto,
2137,Pâtes,Tagliatelle au saumon,pasta,tagliatelle with salmon,,tagliatelle salmon,0,italian,0,pasta,0,main course,1,salmon,pasta,parmigiano-reggiano cheese
2138,Pâtes,Tagliatelles poulet champignon,pasta,Chicken mushroom tagliatelle,,tagliatelle chicken,1,italian,0,pasta,0,main course,1,chicken,mushroom,pasta
2139,Desserts,Tiramisu,desserts,tiramisu,,tiramisu,0,dessert,0,tiramisu,0,dessert,0,,,
2140,Entrées,Tomate Mozzarella,entries,Tomato Mozzarella,,mozzarella tomato,1,Italian,0,other Italian dish,1,starter,1,tomato,mozzarella cheese,black pepper
2141,Pizzas,Tuna,Pizzas,tuna,,pizza tuna,0,italian,0,pizza,0,main course,1,tuna,basil,mozzarella cheese
2142,Pizzas,Végétarienne,Pizzas,Vegetarian,,pizza vegetarian,0,italian,0,pizza,0,main course,1,feta cheese,spinach,kalamata olive
2143,Frites,Assiette de frites,french fries,plate of chips,,chips,0,american,0,american dish,0,,,cod fish fillets,cooking fat,lemon juice
2144,Boissons,Bouteille 1/2 Litre,beverages,1/2 liter bottle, 1 2 bottle,soft drink,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2145,Boissons,Bouteille 1Litre,beverages,1 liter bottle, 1 bottle,soft drink,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2146,Brochettes,Brochette d'escalope,skewers,Scallop skewer,,skewers scallop,0,,,seafood dish,0,,,scallop,squash,yellow squash
2147,Brochettes,Brochette de cœur,skewers,Skewer heart,,skewers hearts,0,,,,,,,italian cheese blend,lettuce,pepperoni
2148,Brochettes,Brochette de foie,skewers,liver kebab,,liver kebab,0,indian,0,north indian dish,0,starter,1,liver,onions,cabbage
2149,Brochettes,Brochette kebab,skewers,kebab skewer,,kebab skewers,0,indian,0,north indian dish,0,starter,1,pineapple,mango,papaya
2150,Brochettes,Brochette merguez,skewers,merguez brochette,,merguez brochette,0,morocco,0,main course,0,main course,1,harissa,cilantro,cinnamon
2151,Boissons,Canette 33cl,beverages,33cl cans, 3 3 cl cans,0,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2152,Poulet,Demi poulet,chicken,Half Chicken,,half chicken,0,,,chicken dish,0,,,chicken,cherry,chicken broth
2153,Poulet,Poulet entier,chicken,whole chicken,,chicken,1,american,0,chicken dish,0,,,chicken,bacon grease,potato
2154,Poulet,Quart de poulet,chicken,Quarter chicken,,chicken,1,,,chicken dish,0,,,chicken,bacon grease,potato
2155,Entrée,Salade composée,entrance,mixed salad,,mixed salad,0,american,0,salad,1,salad,1,blackberry,blueberry,salad dressing
2156,Les desserts,Ananas au sirop,desserts,pineapple in syrup,,pineapple syrup,0,dessert,0,dessert,0,dessert,0,,,
2157,Le bœuf,Brochettes de bœuf ,beef,Beef Skewers,,skewers beef,0,italian,0,beef dish,0,,,beef,steak sauce,barbecue sauce
2158,Le poulet,Brochettes de poulet,chicken,chicken skewers,,skewers chicken,0,italian,0,chicken dish,0,,,chicken,cayenne,ginger
2159,Le bœuf,Bœuf à l'ananas,beef,Beef with Pineapple,,beef pineapple,0,,,beef dish,0,,,beef,pineapple,green onion
2160,Le bœuf,Bœuf au curry,beef,beef curry,,curry beef,0,,,beef dish,0,main course,1,beef,ginger,horseradish
2161,Le bœuf,Bœuf au gimbembre,beef,Beef gimbembre,,beef gimbembre,0,,,beef dish,0,,,beef,anchovy fillets,dijon mustard
2162,Le bœuf,Bœuf au sucre,beef,Beef sugar,,beef sugar,0,,,beef dish,0,,,beef,lettuce,red pepper flakes
2163,Le bœuf,Bœuf aux amandes,beef,Beef with almonds,,beef almond,0,,,beef dish,0,,,beef,apricot preserves,chicken broth
2164,Le bœuf,Bœuf aux germes de soja,beef,Beef with bean sprouts,,bean sprouts,1,,,,,,,beef,bean,sprout
2165,Le bœuf,Bœuf aux morilles,beef,beef with morels,,beef morels,0,,,beef dish,0,,,beef,beef broth,egg noodles
2166,Le bœuf,Bœuf aux oignons,beef,Beef with Onions,,beef onion,0,,,beef dish,0,,,beef,onion,monterey jack cheese
2167,Le bœuf,Bœuf aux pousses de bambou,beef,Beef with bamboo shoots,,bamboo shoots,1,western,1,salad,1,salad,1,beef,bamboo,bamboo shoots
2168,Le bœuf,Bœuf Shop-Suey,beef,beef shop-suey,,chop,1,,,beef dish,0,,,beef,celery,basil
2169,Les entrées,Chips aux crevettes,Entries,Shrimp Chips,,shrimp chips,0,american,0,american dish,0,,,shrimp,carrot,cucumber
2170,Le poisson,Crevettes au curry,fish,Shrimp curry,,shrimp curry,0,,,seafood dish,0,main course,1,shrimp,fish,coriander
2171,Le poisson,Crevettes cantonaises,fish,Cantonese Shrimp,,shrimp,1,,,seafood dish,0,,,shrimp,fish,cloves
2172,Les entrées,Crevettes pékinoises,Entries,Peking shrimp,,shrimp,1,,,seafood dish,0,,,shrimp,cloves,white wine
2173,Les boissons,Eau minérale,Beverages,mineral water,,minerale water,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
2174,Les desserts,Gingembre confit,desserts,candied ginger,,candied ginger,0,dessert,0,dessert,0,dessert,0,,,
2175,Les desserts,Lychees au sirop,desserts,lychees in syrup,,lychee syrup,0,dessert,0,dessert,0,dessert,0,,,
2176,Les desserts,Mangue au sirop,desserts,mango syrup,,mango syrup,0,dessert,0,dessert,0,dessert,0,,,
2177,Les entrées,Nems,Entries,Nems,,nems,0,,,,,,,peppers,cabbage,carrot
2178,Le poisson,Poisson au curry,fish,fish curry,,fish curry,0,,,,,main course,1,fish,bay leaves,coriander
2179,Le poisson,Poisson au gimgembre,fish,fish with ginger,,fish ginger,0,,,,,,,fish,ginger,red chili pepper
2180,Le poisson,Poisson cantonais,fish,Cantonese Fish,,cantonese fish,0,,,,,,,fish,cornstarch,ginger
2181,Les entrées,Poisson pékinois,Entries,Fish Beijing,,fish beijing,0,,,,,,,fish,green onion,ginger
2182,Le poulet,Poulet à l'ananas,chicken,Pineapple Chicken,,chicken pineapple,0,,,chicken dish,0,,,chicken,pineapple,cilantro
2183,Le poulet,Poulet au curry,chicken,chicken curry,,chicken curry,0,italian,0,chicken dish,0,main course,1,chicken,coconut milk,curry paste
2184,Le poulet,Poulet au gimgembre,chicken,chicken with ginger,,ginger chicken,0,,,chicken dish,0,,,chicken,ginger,black pepper
2185,Le poulet,Poulet aux amandes,chicken,Chicken with Almonds,,chicken almond,0,morocco,0,chicken dish,0,,,chicken,swiss cheese,almonds
2186,Le poulet,Poulet aux morilles,chicken,chicken with morels,,chicken,1,,,chicken dish,0,,,chicken,bacon grease,potato
2187,Le poulet,Poulet aux oignons,chicken,Chicken with onions,,onions,1,,,chicken dish,0,,,chicken,beef broth,onions
2188,Le poulet,Poulet aux pousses de bambou,chicken,chicken with bamboo shoots,,bamboo shoots,1,western,1,salad,1,salad,1,chicken,bamboo,bamboo shoots
2189,Le poulet,Poulet Shop-Suey,chicken,Chicken shop-suey,,chop,1,,,chicken dish,0,,,chicken,celery,basil
2190,Les accompagnements,Riz cantonais,Accompaniments,fried rice,,fried rice,0,,,rice dish,0,main course,1,rice,black pepper,mushroom
2191,Les accompagnements,Riz nature,Accompaniments,plain rice,,rice,1,,,rice dish,0,main course,1,rice,ginger,onions
2192,Les entrées,Rouleaux de printemps,Entries,Spring Rolls,,spring rolls,0,japanese,0,other japanese dish,1,fast food,1,bean sprouts,black pepper,celery
2193,Les salades,Salade aux germes de soja,salads,Salad with bean sprouts,,salad bean sprouts,0,western,1,salad,1,salad,1,bean,sprout,bean sprouts
2194,Les salades,Salade aux pousses de bambou,salads,Salad with bamboo shoots,,bamboo shoots,1,western,1,salad,1,salad,1,bamboo,bamboo shoots,chicken broth
2195,Les salades,Salade vietnamienne,salads,Vietnamese salad,,salad,1,italian,0,salad,1,salad,1,black pepper,salad greens,
2196,Le poisson,Sépia au curry,fish,sepia curry,,curry,1,,,,,main course,1,fish,bay leaves,beef broth
2197,Le poisson,Sépia au gimgembre,fish,sepia to ginger,,sepia ginger,0,,,,,,,fish,ginger,crystallized ginger
2198,Le poisson,Sépia cantonaise,fish,sepia Cantonese,,sepia cantonese,0,,,,,,,fish,cornstarch,ginger
2199,Les soupes,Soupe aux vermicelles de chine,soups,china soup noodles,,chinese noodle soup,1,vietnamese,0,soup,0,soup,1,baby bok choy,beef broth,noodles
2200,Les soupes,Soupe My,soups,my soup,,soup,0,vietnamese,0,soup,0,soup,1,pumpkin puree,carrot,onions
2201,Les entrées,Vermicelles sautées au crabe,Entries,fried vermicelli with crab, crab,vermicelli,1,,,,,,,crab,vermicelli,mushroom
2202,Briouates,Assortiment de briouattes,briouates,assortment of briouattes,,assortment briouettes,0,Chinese,0,other Chinese dish,1,,,,,
2203,Salades marocaines,Assortiment de salades beldi ,Moroccan salads,assorted salads beldi,,salad assorted,1,morocco,0,salad,1,salad,1,mayonnaise,turkey,
